start	end	chromosome	name	score
507	1262	scaffold_12943	fgenesh1_pg.scaffold_12943000001	0
15	1272	scaffold_13053	fgenesh1_pg.scaffold_13053000001	0
1	1244	scaffold_13169	fgenesh1_pg.scaffold_13169000001	0
244	721	scaffold_13170	fgenesh1_pg.scaffold_13170000001	0
909	1259	scaffold_13178	fgenesh1_pg.scaffold_13178000001	0
52	1154	scaffold_13181	fgenesh1_pg.scaffold_13181000001	0
395	811	scaffold_13336	fgenesh1_pg.scaffold_13336000001	0
5	778	scaffold_13379	fgenesh1_pg.scaffold_13379000001	0
30	1082	scaffold_13409	fgenesh1_pg.scaffold_13409000001	0
19	1227	scaffold_13447	fgenesh1_pg.scaffold_13447000001	0
15	1250	scaffold_13483	fgenesh1_pg.scaffold_13483000001	0
25	720	scaffold_13508	fgenesh1_pg.scaffold_13508000001	0
278	724	scaffold_13543	fgenesh1_pg.scaffold_13543000001	0
248	1165	scaffold_13547	fgenesh1_pg.scaffold_13547000001	0
159	1196	scaffold_13572	fgenesh1_pg.scaffold_13572000001	0
16	567	scaffold_13598	fgenesh1_pg.scaffold_13598000001	0
18	821	scaffold_13605	fgenesh1_pg.scaffold_13605000001	0
43	499	scaffold_13613	fgenesh1_pg.scaffold_13613000001	0
423	1069	scaffold_13646	fgenesh1_pg.scaffold_13646000001	0
4	1055	scaffold_13653	fgenesh1_pg.scaffold_13653000001	0
3	521	scaffold_13669	fgenesh1_pg.scaffold_13669000001	0
203	1213	scaffold_13786	fgenesh1_pg.scaffold_13786000001	0
369	701	scaffold_13858	fgenesh1_pg.scaffold_13858000001	0
232	867	scaffold_13864	fgenesh1_pg.scaffold_13864000001	0
9	1225	scaffold_13925	fgenesh1_pg.scaffold_13925000001	0
372	1070	scaffold_13946	fgenesh1_pg.scaffold_13946000001	0
503	1057	scaffold_13975	fgenesh1_pg.scaffold_13975000001	0
152	1195	scaffold_14001	fgenesh1_pg.scaffold_14001000001	0
450	1202	scaffold_14090	fgenesh1_pg.scaffold_14090000001	0
229	1051	scaffold_14097	fgenesh1_pg.scaffold_14097000001	0
84	891	scaffold_14167	fgenesh1_pg.scaffold_14167000001	0
271	1005	scaffold_14258	fgenesh1_pg.scaffold_14258000001	0
552	1157	scaffold_14271	fgenesh1_pg.scaffold_14271000001	0
138	1180	scaffold_14441	fgenesh1_pg.scaffold_14441000001	0
218	817	scaffold_14461	fgenesh1_pg.scaffold_14461000001	0
313	1103	scaffold_14488	fgenesh1_pg.scaffold_14488000001	0
254	655	scaffold_14548	fgenesh1_pg.scaffold_14548000001	0
268	1156	scaffold_14603	fgenesh1_pg.scaffold_14603000001	0
438	743	scaffold_14604	fgenesh1_pg.scaffold_14604000001	0
40	993	scaffold_14633	fgenesh1_pg.scaffold_14633000001	0
28	1167	scaffold_14659	fgenesh1_pg.scaffold_14659000001	0
219	1128	scaffold_14689	fgenesh1_pg.scaffold_14689000001	0
12	874	scaffold_14742	fgenesh1_pg.scaffold_14742000001	0
1	1070	scaffold_14884	fgenesh1_pg.scaffold_14884000001	0
339	1006	scaffold_15017	fgenesh1_pg.scaffold_15017000001	0
133	1116	scaffold_15085	fgenesh1_pg.scaffold_15085000001	0
47	866	scaffold_15266	fgenesh1_pg.scaffold_15266000001	0
399	837	scaffold_15274	fgenesh1_pg.scaffold_15274000001	0
8	767	scaffold_15279	fgenesh1_pg.scaffold_15279000001	0
218	796	scaffold_15315	fgenesh1_pg.scaffold_15315000001	0
364	982	scaffold_15334	fgenesh1_pg.scaffold_15334000001	0
41	1142	scaffold_15351	fgenesh1_pg.scaffold_15351000001	0
480	995	scaffold_15363	fgenesh1_pg.scaffold_15363000001	0
72	1022	scaffold_15366	fgenesh1_pg.scaffold_15366000001	0
182	1037	scaffold_15454	fgenesh1_pg.scaffold_15454000001	0
43	870	scaffold_15484	fgenesh1_pg.scaffold_15484000001	0
1	1069	scaffold_15493	fgenesh1_pg.scaffold_15493000001	0
50	1420	scaffold_15546	fgenesh1_pg.scaffold_15546000001	0
8	385	scaffold_15563	fgenesh1_pg.scaffold_15563000001	0
18	1105	scaffold_15604	fgenesh1_pg.scaffold_15604000001	0
1	1052	scaffold_15635	fgenesh1_pg.scaffold_15635000001	0
83	776	scaffold_15678	fgenesh1_pg.scaffold_15678000001	0
253	1111	scaffold_15694	fgenesh1_pg.scaffold_15694000001	0
229	1038	scaffold_15761	fgenesh1_pg.scaffold_15761000001	0
295	602	scaffold_15770	fgenesh1_pg.scaffold_15770000001	0
303	858	scaffold_15799	fgenesh1_pg.scaffold_15799000001	0
230	873	scaffold_15813	fgenesh1_pg.scaffold_15813000001	0
299	709	scaffold_15874	fgenesh1_pg.scaffold_15874000001	0
9	1014	scaffold_15889	fgenesh1_pg.scaffold_15889000001	0
422	994	scaffold_16097	fgenesh1_pg.scaffold_16097000001	0
296	1011	scaffold_16283	fgenesh1_pg.scaffold_16283000001	0
28	1040	scaffold_16311	fgenesh1_pg.scaffold_16311000001	0
744	1044	scaffold_16313	fgenesh1_pg.scaffold_16313000001	0
180	704	scaffold_16314	fgenesh1_pg.scaffold_16314000001	0
91	1027	scaffold_16326	fgenesh1_pg.scaffold_16326000001	0
452	1057	scaffold_16382	fgenesh1_pg.scaffold_16382000001	0
143	604	scaffold_16397	fgenesh1_pg.scaffold_16397000001	0
459	1046	scaffold_16459	fgenesh1_pg.scaffold_16459000001	0
65	1042	scaffold_16507	fgenesh1_pg.scaffold_16507000001	0
288	854	scaffold_16514	fgenesh1_pg.scaffold_16514000001	0
15	807	scaffold_16526	fgenesh1_pg.scaffold_16526000001	0
191	1043	scaffold_16528	fgenesh1_pg.scaffold_16528000001	0
125	795	scaffold_16540	fgenesh1_pg.scaffold_16540000001	0
63	1022	scaffold_16546	fgenesh1_pg.scaffold_16546000001	0
76	984	scaffold_16562	fgenesh1_pg.scaffold_16562000001	0
59	1059	scaffold_16590	fgenesh1_pg.scaffold_16590000001	0
259	832	scaffold_16623	fgenesh1_pg.scaffold_16623000001	0
129	779	scaffold_16630	fgenesh1_pg.scaffold_16630000001	0
462	1056	scaffold_16643	fgenesh1_pg.scaffold_16643000001	0
35	1082	scaffold_16761	fgenesh1_pg.scaffold_16761000001	0
125	802	scaffold_16788	fgenesh1_pg.scaffold_16788000001	0
44	844	scaffold_16808	fgenesh1_pg.scaffold_16808000001	0
174	923	scaffold_16925	fgenesh1_pg.scaffold_16925000001	0
515	1037	scaffold_16933	fgenesh1_pg.scaffold_16933000001	0
97	586	scaffold_17114	fgenesh1_pg.scaffold_17114000001	0
137	1066	scaffold_17136	fgenesh1_pg.scaffold_17136000001	0
244	921	scaffold_17207	fgenesh1_pg.scaffold_17207000001	0
725	1051	scaffold_17307	fgenesh1_pg.scaffold_17307000001	0
99	1038	scaffold_17320	fgenesh1_pg.scaffold_17320000001	0
227	997	scaffold_17473	fgenesh1_pg.scaffold_17473000001	0
229	909	scaffold_17524	fgenesh1_pg.scaffold_17524000001	0
111	1042	scaffold_17545	fgenesh1_pg.scaffold_17545000001	0
1	1050	scaffold_17548	fgenesh1_pg.scaffold_17548000001	0
184	948	scaffold_17588	fgenesh1_pg.scaffold_17588000001	0
394	900	scaffold_17692	fgenesh1_pg.scaffold_17692000001	0
477	837	scaffold_17699	fgenesh1_pg.scaffold_17699000001	0
186	875	scaffold_17702	fgenesh1_pg.scaffold_17702000001	0
82	655	scaffold_17710	fgenesh1_pg.scaffold_17710000001	0
287	982	scaffold_17712	fgenesh1_pg.scaffold_17712000001	0
320	886	scaffold_17715	fgenesh1_pg.scaffold_17715000001	0
18	1043	scaffold_17719	fgenesh1_pg.scaffold_17719000001	0
282	1010	scaffold_17766	fgenesh1_pg.scaffold_17766000001	0
402	968	scaffold_17806	fgenesh1_pg.scaffold_17806000001	0
644	1027	scaffold_17978	fgenesh1_pg.scaffold_17978000001	0
